NAME,CEEPR_NAMES,TERRITORIES_TO_MAP,STATES _W_SRVC_TERRITORY,CEEPR_NAMES,ISO/RTO
BROWN-ATCHISON E C A INC,,,,,
BROWNSVILLE PUBLIC UTILITIES BOARD,,,,,
BRUNSWICK ELECTRIC MEMBER CORP,,,,,
"BUCKEYE RURAL ELEC COOP, INC",,,,,
BUCKEYE WATER C&D DISTRICT,,,,,
BURKE-DIVIDE ELECTRIC COOP INC,,,,,
BURT COUNTY PUBLIC POWER DIST,,,,,
BUTLER COUNTY RURAL ELEC COOP - (IA),,,,,
BUTLER PUBLIC POWER DISTRICT - (NE),,,,,
"BUTLER RURAL EL COOP ASSN, INC - (KS)",,,,,
BUTLER RURAL ELECTRIC COOP INC - (OH),,,,,
"BUTTE ELECTRIC COOP, INC",,,,,
C & L ELECTRIC COOP CORP,,,,,
CAIRO PUBLIC UTILITY COMPANY,,,,,
CALHOUN COUNTY ELEC COOP ASSN,,,,,
CALLAWAY ELECTRIC COOPERATIVE,,,,,
"CAM WAL ELECTRIC COOP, INC",,,,,
"CANADIAN VALLEY ELEC COOP, INC",,,,,
CANBY UTILITY BOARD,,,,,
"CANEY FORK ELECTRIC COOP, INC",,,,,
"CANEY VALLEY EL COOP ASSN, INC",,,,,
CANNELTON UTILITIES,,,,,
CANOOCHEE ELECTRIC MEMBER CORP,,,,,
CANTON MUNICIPAL UTILITIES,,,,,
CAPE HATTERAS ELEC MEMBER CORP,,,,,
"CAPITAL ELECTRIC COOP, INC",,,,,
"CARBON POWER & LIGHT, INC",,,,,
CARROLL COUNTY - (TN),,,,,
CARROLL ELECTRIC COOP CORP - (AR),,,,,
"CARROLL ELECTRIC COOP, INC - (OH)",,,,,
CARROLL ELECTRIC MEMBER CORP - (GA),,,,,
CARROLLTON BOARD OF PUBLIC WKS,,,,,
CARROLL-WHITE REMC,,,,,
CARTERET-CRAVEN EL MEMBER CORP,,,,,
CASCADE MUNICIPAL UTILITIES,,,,,
CASS COUNTY ELEC COOP INC,,,,,
CASS ELECTRIC COOP,,,,,
"CAVALIER RURAL ELEC COOP, INC",,,,,
CEDAR FALLS UTILITIES,,,,,
CEDARBURG LIGHT & WATER COMM,,,,,
CEDAR-KNOX PUBLIC POWER DIST,,,,,
CENTERPOINT ENERGY,,,,,
CENTRAL ALABAMA ELECTRIC COOP,,,,,
CENTRAL COAST COMMUNITY ENERGY,,,,,
CENTRAL ELECTRIC COOP INC - (OR),,,,,
"CENTRAL ELECTRIC COOP, INC - (PA)",,,,,
"CENTRAL ELECTRIC COOP, INC - (SD)",,,,,
CENTRAL ELECTRIC MEMBERSHIP CORP. - (NC),,,,,
CENTRAL ELECTRIC POWER ASSN - (MS),,,,,
"CENTRAL FLORIDA ELEC COOP, INC",,,,,
CENTRAL GEORGIA EL MEMBER CORP,,,,,
CENTRAL HUDSON GAS & ELEC CORP,,,,,
CENTRAL LINCOLN PEOPLE'S UT DT,,,,,
CENTRAL MAINE POWER CO,,,,,
CENTRAL MISSOURI ELEC COOP INC,,,,,
"CENTRAL NEW MEXICO EL COOP, INC",,,,,
"CENTRAL RURAL ELECTRIC COOPERATIVE, INC",,,,,
"CENTRAL TEXAS ELEC COOP, INC",,,,,
"CENTRAL VALLEY ELEC COOP, INC",,,,,
CENTRAL VIRGINIA ELECTRIC COOP,,,,,
CENTRAL WISCONSIN ELEC COOP,,,,,
"CHARITON VALLEY ELEC COOP, INC",,,,,
"CHARLES MIX ELECTRIC ASSN, INC",,,,,
CHEROKEE COUNTY ELEC COOP ASSN,,,,,
CHEROKEE ELECTRIC COOP,,,,,
CHERRYLAND ELECTRIC COOP INC,,,,,
"CHERRY-TODD ELECTRIC COOP, INC",,,,,
CHEYENNE LIGHT FUEL & POWER,,,,,
"CHICKASAW ELECTRIC COOP, INC",,,,,
CHILLICOTHE MUNICIPAL UTILS,,,,,
CHIMNEY ROCK PUBLIC POWER DIST,,,,,
CHIPPEWA VALLEY ELECTRIC COOP,,,,,
CHITINA ELECTRIC INC,,,,,
CHOCTAW ELECTRIC COOP INC,,,,,
"CHOCTAWHATCHE ELEC COOP, INC",,,,,
"CHOPTANK ELECTRIC COOPERATIVE, INC",,,,,
CHUGACH ELECTRIC ASSN INC,,,,,
CIMARRON ELECTRIC COOP,,,,,
CITIZENS ELECTRIC CO - (PA),,,,,
CITIZENS ELECTRIC CORPORATION - (MO),,,,,
CITY & BOROUGH OF SITKA - (AK),,,,,
CITY & COUNTY OF SAN FRANCISCO,,,,,
CITY OF ABBEVILLE - (LA),,,,,
CITY OF ABBEVILLE - (SC),,,,,
CITY OF ABERDEEN - (MS),,,,,
CITY OF ACWORTH - (GA),,,,,
CITY OF ADA - (MN),,,,,
CITY OF ADEL- (GA),,,,,
CITY OF AFTON- (IA),,,,,
CITY OF AKRON - (IA),,,,,
CITY OF AKUTAN - (AK),,,,,
CITY OF ALACHUA - (FL),,,,,
CITY OF ALBANY - (IL),,,,,
CITY OF ALBANY - (MO),,,,,
CITY OF ALBEMARLE - (NC),,,,,
CITY OF ALBION - (ID),,,,,
CITY OF ALCOA UTILITIES,,,,,
CITY OF ALEXANDER CITY,,,,,
CITY OF ALEXANDRIA - (LA),,,,,
CITY OF ALEXANDRIA - (MN),,,,,
CITY OF ALGONA - (IA),,,,,
CITY OF ALLENDALE- (IL),,,,,
CITY OF ALLIANCE- (NE),,,,,
CITY OF ALMA - (KS),,,,,
CITY OF ALPHA - (MN),,,,,
CITY OF ALTA - (IA),,,,,
CITY OF ALTA VISTA- (IA),,,,,
CITY OF ALTAMONT - (IL),,,,,
CITY OF ALTAMONT - (KS),,,,,
CITY OF ALTON,,,,,
CITY OF ALTUS - (OK),,,,,
CITY OF ALVARADO - (MN),,,,,
CITY OF AMES - (IA),,,,,
CITY OF AMHERST- (OH),,,,,
CITY OF AMORY,,,,,
CITY OF ANAHEIM - (CA),,,,,
CITY OF ANDALUSIA,,,,,
CITY OF ANDERSON - (IN),,,,,
CITY OF ANITA - (IA),,,,,
CITY OF ANOKA,,,,,
