NAME,CEEPR_NAMES,TERRITORIES_TO_MAP,STATES _W_SRVC_TERRITORY,CEEPR_NAMES,ISO/RTO
HENRY COUNTY RURAL E M C,,,,,
HIBBING PUBLIC UTILITIES COMM,,,,,
HIGH PLAINS POWER INC,,,,,
"HIGH WEST ENERGY, INC",,,,,
HIGHLINE ELECTRIC ASSN,,,,,
"HILCO ELECTRIC COOPERATIVE, INC.",,,,,
"HILL COUNTY ELECTRIC COOP, INC",,,,,
HILLSDALE BOARD OF PUBLIC WKS,,,,,
HOHOKAM IRR & DRAIN DIST,,,,,
HOLMES-WAYNE ELECTRIC COOP INC,,,,,
"HOLSTON ELECTRIC COOP, INC",,,,,
"HOLY CROSS ELECTRIC ASSN, INC",,,,,
HOMER ELECTRIC ASSN INC,,,,,
HOOD RIVER ELECTRIC COOP,,,,,
HOOVERSVILLE BORO ELEC LGT CO,,,,,
HORRY ELECTRIC COOP INC,,,,,
HOULTON WATER COMPANY,,,,,
HOUSTON COUNTY ELEC COOP INC,,,,,
HOWARD ELECTRIC COOP,,,,,
HOWARD GREELEY RURAL P P D,,,,,
"HOWELL-OREGON ELEC COOP, INC",,,,,
HUGHES POWER & LIGHT CO,,,,,
HULL MUNICIPAL LIGHT PLANT,,,,,
HURRICANE CITY POWER,,,,,
HUSTISFORD UTILITIES,,,,,
HUTCHINSON UTILITIES COMM,,,,,
HYRUM CITY CORPORATION,,,,,
"IDAHO COUNTY L&P COOP ASSN, INC",,,,,
IDAHO POWER CO,,,,,
IGIUGIG ELECTRIC COMPANY,,,,,
ILLINOIS RURAL ELECTRIC COOP,,,,,
IMPERIAL IRRIGATION DISTRICT,,,,,
"INDIAN ELECTRIC COOP, INC",,,,,
INDIANA MICHIGAN POWER CO,,,,,
INDIANAPOLIS POWER & LIGHT CO,,,,,
INDIANOLA MUNICIPAL UTILITIES,,,,,
INLAND POWER & LIGHT COMPANY,,,,,
"I-N-N ELECTRIC COOP, INC",,,,,
"INSIDE PASSAGE ELEC COOP, INC",,,,,
INTER COUNTY ENERGY COOP CORP,,,,,
INTERCOUNTY ELECTRIC COOP ASSN,,,,,
INTERSTATE POWER AND LIGHT CO,,,,,
IOWA LAKES ELECTRIC COOP,,,,,
IPNATCHIAQ ELECTRIC COMPANY,,,,,
IRWIN ELECTRIC MEMBERSHIP CORP,,,,,
ITASCA-MANTRAP CO-OP ELECTRICAL ASSN,,,,,
J-A-C ELECTRIC COOP INC,,,,,
JACKSON COUNTY RURAL E M C - (IN),,,,,
"JACKSON ELECTRIC COOP, INC - (TX)",,,,,
"JACKSON ELECTRIC COOP, INC - (WI)",,,,,
JACKSON ELECTRIC MEMBER CORP - (GA),,,,,
JACKSON ENERGY COOP CORP - (KY),,,,,
JACKSON PURCHASE ENERGY CORPORATION,,,,,
JAMESTOWN BOARD OF PUBLIC UTIL,,,,,
JASPER COUNTY RURAL E M C,,,,,
"JASPER-NEWTON ELEC COOP, INC",,,,,
JAY COUNTY RURAL E M C,,,,,
JEA,,,,,
"JEFFERSON DAVIS ELEC COOP, INC",,,,,
JEFFERSON ELECTRIC MEMBER CORP,,,,,
JEFFERSON UTILITIES,,,,,
"JEMEZ MOUNTAINS ELEC COOP, INC",,,,,
JERSEY CENTRAL POWER & LT CO,,,,,
"JO-CARROLL ENERGY, INC",,,,,
JOE WHEELER ELEC MEMBER CORP,,,,,
JOHNSON CITY - (TN),,,,,
JOHNSON COUNTY RURAL E M C,,,,,
JONES-ONSLOW ELEC MEMBER CORP,,,,,
JUMP RIVER ELECTRIC COOP INC,,,,,
JUNEAU UTILITY COMM,,,,,
K C ELECTRIC ASSOCIATION,,,,,
KANDIYOHI POWER COOP,,,,,
KANKAKEE VALLEY RURAL E M C,,,,,
KANOSH TOWN CORPORATION,,,,,
KARNES ELECTRIC COOP INC,,,,,
KAUAI ISLAND UTILITY COOPERATIVE,,,,,
KAY ELECTRIC COOP,,,,,
KAYSVILLE CITY CORPORATION,,,,,
KBR RURAL PUBLIC POWER DISTRICT,,,,,
KEEWATIN PUBLIC UTILITIES,,,,,
KEM ELECTRIC COOP INC,,,,,
KENERGY CORP,,,,,
KENNEBUNK LIGHT & POWER DIST,,,,,
KENTUCKY POWER CO,,,,,
KENTUCKY UTILITIES CO,,,,,
KENYON MUNICIPAL UTILITIES,,,,,
KEOSAUQUA MUNICIPAL LIGHT & PWR,,,,,
KERRVILLE PUBLIC UTILITY BOARD,,,,,
KETCHIKAN PUBLIC UTILITIES,,,,,
"KIAMICHI ELECTRIC COOP, INC",,,,,
KINGS RIVER CONSERVATION DIST,,,,,
"KINGSBURY ELECTRIC COOP, INC",,,,,
KINGSPORT POWER CO,,,,,
KIRBYVILLE LIGHT & POWER CO,,,,,
KISSIMMEE UTILITY AUTHORITY,,,,,
"KIT CARSON ELECTRIC COOP, INC",,,,,
KNOXVILLE UTILITIES BOARD,,,,,
KODIAK ELECTRIC ASSN INC,,,,,
KOKHANOK VILLAGE COUNCIL,,,,,
KOOTENAI ELECTRIC COOPERATIVE,,,,,
KOSCIUSKO COUNTY RURAL E M C,,,,,
KOTZEBUE ELECTRIC ASSN INC,,,,,
KUIGGLUUM KALLUGVIA,,,,,
KWIG POWER COMPANY,,,,,
KYUQUOT POWER LTD,,,,,
LA FARGE MUNICIPAL ELECTRIC CO,,,,,
"LA PLATA ELECTRIC ASSN, INC",,,,,
LA PORTE CITY UTILITIES,,,,,
"LACLEDE ELECTRIC COOP, INC",,,,,
"LACREEK ELECTRIC ASSN, INC",,,,,
LAGRANGE COUNTY RURAL E M C,,,,,
LAKE COUNTRY POWER,,,,,
LAKE MILLS LIGHT & WATER,,,,,
"LAKE PLACID VILLAGE, INC - (NY)",,,,,
"LAKE REGION ELECTRIC ASSN, INC - (SD)",,,,,
"LAKE REGION ELECTRIC COOP, INC - (OK)",,,,,
LAKE REGION ELECTRIC COOPERATIVE - (MN),,,,,
LAKEVIEW LIGHT & POWER,,,,,
LAMAR COUNTY ELEC COOP ASSN,,,,,
"LAMB COUNTY ELECTRIC COOP, INC",,,,,
LANE ELECTRIC COOP INC,,,,,
LANESBORO PUBLIC UTILITY COMM,,,,,
"LANE-SCOTT ELECTRIC COOP, INC",,,,,
LASSEN MUNICIPAL UTILITY DISTRICT,,,,,
LATHROP IRRIGATION DISTRICT,,,,,
"LAURENS ELECTRIC COOP, INC",,,,,
LAWRENCEBURG MUNICIPAL UTILS,,,,,
"LEA COUNTY ELECTRIC COOP, INC",,,,,
"LEE COUNTY ELECTRIC COOP, INC",,,,,
LEHI CITY CORPORATION,,,,,
LETHBRIDGE ELECTRIC UTILITY(CITY OF),,,,,
LEVAN TOWN CORPORATION - (UT),,,,,
LEWIS COUNTY RURAL E C A,,,,,
LIBERTY UTILITIES,,,,,
LIBERTY UTILITIES (GRANITE STATE ELECTRI,,,,,
LICKING RURAL ELECTRIC INC,,,,,
LICKING VALLEY RURAL E C C,,,,,
"LIGHTHOUSE ELECTRIC COOP, INC",,,,,
LINCOLN COUNTY POWER DIST NO 1,,,,,
"LINCOLN ELECTRIC COOP, INC",,,,,
LINCOLN ELECTRIC SYSTEM,,,,,
LINN COUNTY REC,,,,,
LITCHFIELD PUBLIC UTILITIES,,,,,
LITTLE OCMULGEE EL MEMBER CORP,,,,,
LITTLE RIVER ELECTRIC COOP INC,,,,,
LOCKHART POWER CO,,,,,
LOCKWOOD WATER & LIGHT COMPANY,,,,,
LOGAN COUNTY COOP POWER & LIGHT,,,,,
LONG ISLAND POWER AUTHORITY,,,,,
"LORAIN-MEDINA R E C, INC",,,,,
LOS ALAMOS COUNTY,,,,,
LOS ANGELES DEPARTMENT OF WATER & POWER,,,,,
LOST RIVER ELECTRIC COOP INC,,,,,
LOUDON UTILITIES BOARD,,,,,
LOUISVILLE ELECTRIC SYSTEM,,,,,
LOUISVILLE GAS & ELECTRIC CO,,,,,
LOUP RIVER PUBLIC POWER DIST,,,,,
LOUP VALLEYS RURAL P P D,,,,,
LOWER VALLEY ENERGY INC,,,,,
"LOWER YELLOWSTONE R E A, INC",,,,,
LUMBEE RIVER ELEC MEMBER CORP,,,,,
"LYNCHES RIVER ELEC COOP, INC",,,,,
"LYNTEGAR ELECTRIC COOP, INC",,,,,
"LYON ELECTRIC COOPERATIVE, INC.",,,,,
LYON RURAL ELECTRIC COOP,,,,,
M J M ELECTRIC COOPERATIVE INC,,,,,
MACON ELECTRIC COOP,,,,,
MADISON GAS & ELECTRIC CO,,,,,
MADISONVILLE MUNICIPAL UTILS,,,,,
MAGIC VALLEY ELECTRIC COOP INC,,,,,
MAGNOLIA ELECTRIC POWER ASSN,,,,,
MANITOWOC PUBLIC UTILITIES,,,,,
MANOKOTAK POWER COMPANY,,,,,
MAQUOKETA VALLEY RRL ELEC COOP,,,,,
MARIAS RIVER ELECTRIC COOP INC,,,,,
MARICOPA COUNTY M W C DIST #1,,,,,
"MARLBORO ELECTRIC COOP, INC",,,,,
MARSHALL COUNTY RURAL E M C,,,,,
MARSHALL-DE KALB ELECTRIC COOP,,,,,
MARYVILLE UTILITIES,,,,,
MASSACHUSETTS BAY TRANS AUTHORITY,,,,,
MASSACHUSETTS ELECTRIC CO,,,,,
MATANUSKA ELECTRIC ASSN INC,,,,,
MATINICUS PLANTATION ELEC CO,,,,,
MAUI ELECTRIC CO LTD,,,,,
MCCONE ELECTRIC COOP INC,,,,,
MCCOOK PUBLIC POWER DISTRICT,,,,,
MCDONOUGH POWER COOP,,,,,
MCGRATH LIGHT & POWER CO,,,,,
MCKENZIE ELECTRIC COOP INC,,,,,
"MCLEAN ELECTRIC COOP, INC",,,,,
MCLEOD COOPERATIVE POWER ASSN,,,,,
MCMINNVILLE ELECTRIC SYSTEM,,,,,
MCMULLEN VALLEY WATER C&D DIST,,,,,
MEADE COUNTY RURAL E C C,,,,,
MEADOW TOWN CORPORATION,,,,,
MECKLENBURG ELECTRIC COOPERATIVE,,,,,
MEDICINE HAT (CITY OF),,,,,
"MEDINA ELECTRIC COOP, INC",,,,,
MEEKER COOP LIGHT & POWER ASSN,,,,,
MELROSE PUBLIC UTILITIES,,,,,
MENARD ELECTRIC COOP,,,,,
MERCED IRRIGATION DISTRICT,,,,,
MERIWETHER LEWIS ELECTRIC COOP,,,,,
METLAKATLA POWER & LIGHT,,,,,
METROPOLITAN EDISON CO,,,,,
MIAMI-CASS COUNTY RURAL E M C,,,,,
MIDAMERICAN ENERGY CO,,,,,
MID-CAROLINA ELECTRIC COOP INC,,,,,
MIDDLE GEORGIA EL MEMBER CORP,,,,,
MIDDLE KUSKOKWIM ELEC COOP INC,,,,,
MIDDLE TENNESSEE E M C,,,,,
MIDLAND POWER COOP,,,,,
"MID-OHIO ENERGY COOP, INC",,,,,
MID-SOUTH ELECTRIC COOP ASSN,,,,,
"MIDSTATE ELECTRIC COOP, INC",,,,,
MIDVALE IRRIGATION DISTRICT,,,,,
MIDWEST ELECTRIC MEMBER CORP,,,,,
"MIDWEST ELECTRIC, INC",,,,,
MIDWEST ENERGY COOPERATIVE,,,,,
MIDWEST ENERGY INC,,,,,
"MID-YELLOWSTONE ELEC COOP, INC",,,,,
MIENERGY COOPERATIVE,,,,,
MILLE LACS ENERGY COOPERATIVE,,,,,
MINNESOTA VALLEY COOP L&P ASSN,,,,,
MINNESOTA VALLEY ELECTRIC COOP,,,,,
MISSISSIPPI COUNTY ELECTRIC CO,,,,,
MISSISSIPPI POWER CO,,,,,
"MISSOULA ELECTRIC COOP, INC",,,,,
MISSOURI RURAL ELECTRIC COOP,,,,,
MITCHELL ELECTRIC MEMBER CORP,,,,,
MODERN ELECTRIC WATER COMPANY,,,,,
MODESTO IRRIGATION DISTRICT,,,,,
"MOHAVE ELECTRIC COOPERATIVE, INC.",,,,,
MOHAWK MUNICIPAL COMM,,,,,
MOHEGAN TRIBAL UTILITY AUTHORITY,,,,,
MONONGAHELA POWER CO,,,,,
"MONROE COUNTY ELEC COOP, INC",,,,,
MONROE COUNTY ELEC POWER ASSN,,,,,
MONT ALTO BOROUGH,,,,,
MONTANA-DAKOTA UTILITIES CO,,,,,
MOON LAKE ELECTRIC ASSN INC,,,,,
MOOSE LAKE WATER & LIGHT COMM,,,,,
MORA-SAN MIGUEL ELEC COOP,,,,,
MOREAU-GRAND ELECTRIC COOP INC,,,,,
MORENCI WATER AND ELECTRIC,,,,,
MORGAN CITY - (LA),,,,,
MORGAN CITY - (UT),,,,,
MORGAN COUNTY RURAL ELEC ASSN,,,,,
MOR-GRAN-SOU ELECTRIC COOP INC,,,,,
"MOUNTAIN ELECTRIC COOP, INC",,,,,
"MOUNTAIN PARKS ELECTRIC, INC",,,,,
"MOUNTAIN VIEW ELEC ASSN, INC",,,,,
MOUNTRAIL-WILLIAMS ELEC COOP,,,,,
MT CARMEL PUBLIC UTILITY CO,,,,,
"MT WHEELER POWER, INC",,,,,
"NAKNEK ELECTRIC ASSN, INC",,,,,
NANTUCKET ELECTRIC CO,,,,,
NAPAKIAK IRCINRAQ POWER CO,,,,,
NASHVILLE ELECTRIC SERVICE,,,,,
NATCHEZ TRACE ELEC POWER ASSN,,,,,
NATIVE VILLAGE OF PERRYVILLE - (AK),,,,,
NAVAJO TRIBAL UTILITY AUTHORITY,,,,,
"NAVARRO COUNTY ELEC COOP, INC",,,,,
"NAVASOTA VALLEY ELEC COOP, INC",,,,,
"NAVOPACHE ELECTRIC COOP, INC",,,,,
NEBRASKA PUBLIC POWER DISTRICT,,,,,
NELSON LAGOON ELEC COOP INC,,,,,
"NEMAHA-MARSHALL E C A, INC",,,,,
NEPHI CITY CORPORATION,,,,,
"NESPELEM VALLEY ELEC COOP, INC",,,,,
NEVADA POWER CO,,,,,
NEW CASTLE MUNICIPAL SERV COMM,,,,,
"NEW ENTERPRISE R E C, INC",,,,,
NEW HAMPSHIRE ELEC COOP INC,,,,,
NEW HAMPTON VILLAGE PRECINCT,,,,,
NEW LONDON ELECTRIC&WATER UTIL,,,,,
NEW LONDON MUNICIPAL UTILITIES,,,,,
NEW PRAGUE UTILITIES COMM,,,,,
NEW RIVER LIGHT & POWER CO,,,,,
NEW SMYRNA BEACH CITY OF,,,,,
NEW ULM PUBLIC UTILITIES COMM,,,,,
NEW YORK STATE ELEC & GAS CORP,,,,,
"NEWBERRY ELECTRIC COOP, INC",,,,,
NEWBERRY WATER & LIGHT BOARD,,,,,
"NEW-MAC ELECTRIC COOP, INC",,,,,
"NEWNAN WTR, SEWER & LIGHT COMM",,,,,
NEWTON COUNTY RURAL E M C,,,,,
NIAGARA MOHAWK POWER CORP.,,,,,
NINESTAR CONNECT,,,,,
NINNESCAH RURAL E C A INC,,,,,
"NIOBRARA ELECTRIC ASSN, INC",,,,,
NIOBRARA VALLEY EL MEMBER CORP,,,,,
NISHNABOTNA VALLEY R E C,,,,,
NOBLE COUNTY R E M C,,,,,
NOBLES COOPERATIVE ELECTRIC,,,,,
NODAK ELECTRIC COOP INC,,,,,
NOLIN RURAL ELECTRIC COOP CORP,,,,,
NOME JOINT UTILITY SYSTEMS,,,,,
NORRIS ELECTRIC COOP,,,,,
NORRIS PUBLIC POWER DISTRICT,,,,,
NORTH ALABAMA ELECTRIC COOP,,,,,
"NORTH ARKANSAS ELEC COOP, INC",,,,,
NORTH BRANCH WATER & LIGHT COMM,,,,,
NORTH CAROLINA EASTERN M P A,,,,,
"NORTH CENTRAL ELEC COOP, INC",,,,,
"NORTH CENTRAL ELEC COOP, INC",,,,,
NORTH CENTRAL MO ELEC COOP INC,,,,,
NORTH CENTRAL POWER CO INC,,,,,
NORTH CENTRAL PUBLIC PWR DIST,,,,,
NORTH EAST MISSISSIPPI EPA,,,,,
NORTH GEORGIA ELEC MEMBER CORP,,,,,
NORTH ITASCA ELECTRIC COOP INC,,,,,
NORTH PLAINS ELECTRIC COOP INC,,,,,
NORTH SHORE TOWERS APTS INC,,,,,
NORTH SLOPE BOROUGH POWER & LIGHT,,,,,
"NORTH STAR ELECTRIC COOP, INC",,,,,
NORTH WEST RURAL ELECTRIC COOP,,,,,
"NORTH WESTERN ELEC COOP, INC",,,,,
NORTHCENTRAL MISSISSIPPI E P A,,,,,
NORTHEAST LOUISIANA POWER COOP INC.,,,,,
NORTHEAST OKLAHOMA ELECTRIC CO,,,,,
NORTHEAST POWER,,,,,
NORTHEASTERN RURAL E M C,,,,,
"NORTHERN ELECTRIC COOP, INC",,,,,
NORTHERN INDIANA PUB SERV CO,,,,,
"NORTHERN LIGHTS, INC",,,,,
"NORTHERN NECK ELEC COOP, INC",,,,,
NORTHERN PLAINS ELECTRIC COOP,,,,,
NORTHERN RIO ARRIBA E COOP INC,,,,,
NORTHERN STATES POWER CO,,,,,
NORTHERN STATES POWER CO - MINNESOTA,,,,,
NORTHERN VIRGINIA ELEC COOP,,,,,
NORTHERN WASCO COUNTY PUD,,,,,
"NORTHFORK ELECTRIC COOP, INC",,,,,
NORTHWEST RURAL PUB PWR DIST,,,,,
NORTHWESTERN ELECTRIC COOP INC - (OK),,,,,
NORTHWESTERN ENERGY - (SD),,,,,
NORTHWESTERN ENERGY LLC - (MT),,,,,
"NORTHWESTERN RURAL E C A, INC - (PA)",,,,,
NORTHWESTERN WISCONSIN ELEC CO,,,,,
"NORVAL ELECTRIC COOPERATIVE, INC",,,,,
NORWALK THIRD TAXING DISTRICT,,,,,
NSTAR ELECTRIC COMPANY,,,,,
NUECES ELECTRIC COOPERATIVE,,,,,
"NUSHAGAK ELECTRIC COOP, INC",,,,,
OAHE ELECTRIC COOP INC,,,,,
OAKDALE ELECTRIC COOP,,,,,
OCMULGEE ELECTRIC MEMBER CORP,,,,,
OCONEE ELECTRIC MEMBER CORP,,,,,
OCONOMOWOC UTILITIES,,,,,
OCONTO ELECTRIC COOPERATIVE,,,,,
OCONTO FALLS WATER & LIGHT COMM,,,,,
OCOTILLO WATER CONSERV. DIST.,,,,,
OHIO EDISON CO,,,,,
OHIO POWER CO,,,,,
OHIO VALLEY ELECTRIC CORP,,,,,
"OHOP MUTUAL LIGHT COMPANY, INC",,,,,
"OKANOGAN COUNTY ELEC COOP, INC",,,,,
OKEENE PUBLIC WORKS AUTHORITY,,,,,
OKEFENOKE RURAL EL MEMBER CORP,,,,,
OKLAHOMA ELECTRIC COOP INC,,,,,
OKLAHOMA GAS & ELECTRIC CO,,,,,
OMAHA PUBLIC POWER DISTRICT,,,,,
ONCOR ELECTRIC DELIVERY COMPANY LLC,,,,,
"ONEIDA-MADISON ELEC COOP, INC",,,,,
ONTONAGON COUNTY R E A,,,,,
ORANGE & ROCKLAND UTILS INC,,,,,
ORANGE COUNTY RURAL E M C,,,,,
ORCAS POWER & LIGHT COOP,,,,,
"OREGON TRAIL EL CONS COOP, INC",,,,,
ORLANDO UTILITIES COMM,,,,,
OSAGE VALLEY ELEC COOP ASSN,,,,,
"OSCEOLA ELECTRIC COOP, INC",,,,,
OTERO COUNTY ELECTRIC COOP INC,,,,,
"OTSEGO ELECTRIC COOP, INC",,,,,
OTTER TAIL POWER CO,,,,,
OUACHITA ELECTRIC COOP CORP,,,,,
OVERTON POWER DISTRICT NO 5,,,,,
OWEN ELECTRIC COOP INC,,,,,
OZARK BORDER ELECTRIC COOP,,,,,
OZARK ELECTRIC COOP INC - (MO),,,,,
OZARKS ELECTRIC COOP CORP - (AR),,,,,
"P K M ELECTRIC COOP, INC",,,,,
PACIFIC GAS & ELECTRIC CO.,,,,,
PACIFICORP,,,,,
PAGE UTILITY ENTERPRISES,,,,,
PALMETTO ELECTRIC COOP INC,,,,,
PANHANDLE RURAL EL MEMBER ASSN,,,,,
"PANOLA-HARRISON ELEC COOP, INC",,,,,
PARAGOULD LIGHT & WATER COMM,,,,,
PARK ELECTRIC COOP INC,,,,,
PARKE COUNTY RURAL E M C,,,,,
PARKLAND LIGHT & WATER COMPANY,,,,,
PAROWAN CITY CORPORATION,,,,,
PASCOAG UTILITY DISTRICT,,,,,
"PAULDING-PUTMAN ELEC COOP, INC",,,,,
PAYSON CITY CORPORATION,,,,,
PEA RIVER ELECTRIC COOP,,,,,
"PEACE RIVER ELECTRIC COOP, INC",,,,,
PEARL RIVER VALLEY EL PWR ASSN,,,,,
PECO ENERGY CO,,,,,
"PEDERNALES ELECTRIC COOP, INC",,,,,
PEDRO BAY VILLAGE COUNCIL - (AK),,,,,
"PEE DEE ELECTRIC COOP, INC",,,,,
PEE DEE ELECTRIC MEMBER CORP,,,,,
PELICAN UTILITY,,,,,
PELLA COOPERATIVE ELEC ASSN,,,,,
PEMISCOT-DUNKLIN ELEC COOP INC,,,,,
PENINSULA LIGHT COMPANY,,,,,
PENNSYLVANIA ELECTRIC CO,,,,,
PENNSYLVANIA POWER CO,,,,,
PENNYRILE RURAL ELECTRIC COOP,,,,,
PEOPLE'S COOPERATIVE SERVICES,,,,,
PEOPLE'S ELECTRIC COOPERATIVE,,,,,
PERENNIAL PUBLIC POWER DIST,,,,,
PETERSBURG BOROUGH - (AK),,,,,
PETIT JEAN ELECTRIC COOP CORP,,,,,
PHILIPPI MUNICIPAL ELECTRIC,,,,,
PICKWICK ELECTRIC COOP,,,,,
PIEDMONT ELECTRIC MEMBER CORP,,,,,
PIERCE-PEPIN COOP SERVICES,,,,,
PIKE COUNTY LIGHT & POWER CO,,,,,
"PIONEER ELECTRIC COOP, INC - (AL)",,,,,
"PIONEER ELECTRIC COOP, INC - (KS)",,,,,
PIONEER POWER AND LIGHT CO,,,,,
"PIONEER RURAL ELEC COOP, INC - (OH)",,,,,
PITT & GREENE ELEC MEMBER CORP,,,,,
PITTSBURG POWER COMPANY,,,,,
PLANTERS ELECTRIC MEMBER CORP,,,,,
PLATEAU ELECTRIC COOPERATIVE,,,,,
"PLATTE-CLAY ELECTRIC COOP, INC",,,,,
PLEASANT HILL COMMUNITY LINE,,,,,
PLUMAS-SIERRA RURAL ELEC COOP,,,,,
POINTE COUPEE ELEC MEMBER CORP,,,,,
POLK COUNTY RURAL PUB PWR DIST,,,,,
POLK-BURNETT ELECTRIC COOP,,,,,
PONTOTOC ELECTRIC POWER ASSN,,,,,
PORT OF OAKLAND,,,,,
PORT OF STOCKTON - (CA),,,,,
PORTLAND GENERAL ELECTRIC CO,,,,,
POTOMAC ELECTRIC POWER CO,,,,,
"POUDRE VALLEY REA, INC",,,,,
POWDER RIVER ENERGY CORP,,,,,
POWELL VALLEY ELECTRIC COOP,,,,,
PPL ELECTRIC UTILITIES CORP,,,,,
PRAGUE PUBLIC WORKS AUTHORITY,,,,,
PRAIRIE ENERGY COOP,,,,,
PRAIRIE LAND ELECTRIC COOP INC,,,,,
PRECINCT OF WOODSVILLE,,,,,
PRENTISS COUNTY ELEC PWR ASSN,,,,,
PRESQUE ISLE ELEC & GAS COOP,,,,,
PRESTON PUBLIC UTILITIES COMM,,,,,
PRICE ELECTRIC COOP INC,,,,,
PRICE MUNICIPAL CORPORATION,,,,,
PRINCE GEORGE ELECTRIC COOP,,,,,
PRINCETON PUBLIC UTILS COMM,,,,,
PROCTOR PUBLIC UTILITIES COMM,,,,,
PROSPECT CORPORATION,,,,,
PROVO CITY CORP,,,,,
PUBLIC SERV COMM OF YAZOO CITY,,,,,
PUBLIC SERVICE CO OF COLORADO,,,,,
PUBLIC SERVICE CO OF NH,,,,,
PUBLIC SERVICE CO OF NM,,,,,
PUBLIC SERVICE CO OF OKLAHOMA,,,,,
PUBLIC SERVICE ELEC & GAS CO,,,,,
PUD 1 OF SNOHOMISH COUNTY,,,,,
PUD NO 1 OF ASOTIN COUNTY,,,,,
PUD NO 1 OF BENTON COUNTY,,,,,
PUD NO 1 OF CHELAN COUNTY,,,,,
PUD NO 1 OF CLALLAM COUNTY,,,,,
PUD NO 1 OF CLARK COUNTY - (WA),,,,,
PUD NO 1 OF COWLITZ COUNTY,,,,,
PUD NO 1 OF DOUGLAS COUNTY,,,,,
PUD NO 1 OF FERRY COUNTY,,,,,
PUD NO 1 OF FRANKLIN COUNTY,,,,,
PUD NO 1 OF GRAYS HARBOR COUNTY,,,,,
PUD NO 1 OF JEFFERSON COUNTY,,,,,
PUD NO 1 OF KITTITAS COUNTY,,,,,
PUD NO 1 OF KLICKITAT COUNTY,,,,,
PUD NO 1 OF LEWIS COUNTY,,,,,
PUD NO 1 OF MASON COUNTY,,,,,
PUD NO 1 OF OKANOGAN COUNTY,,,,,
PUD NO 1 OF PEND OREILLE COUNTY,,,,,
PUD NO 1 OF SKAMANIA CO,,,,,
PUD NO 1 OF WAHKIAKUM COUNTY,,,,,
PUD NO 1 OF WHATCOM COUNTY,,,,,
PUD NO 2 OF GRANT COUNTY,,,,,
PUD NO 2 OF PACIFIC COUNTY,,,,,
PUD NO 3 OF MASON COUNTY,,,,,
PUERTO RICO ELECTRIC PWR AUTHORITY,,,,,
PUGET SOUND ENERGY INC,,,,,
RACCOON VALLEY ELECTRIC COOPERATIVE,,,,,
RAFT RURAL ELEC COOP INC,,,,,
RALLS COUNTY ELECTRIC COOP,,,,,
RANCHO CUCAMONGA MUNICIPAL UTILITY,,,,,
RANDOLPH ELECTRIC MEMBER CORP,,,,,
RAPPAHANNOCK ELECTRIC COOP,,,,,
RATON PUBLIC SERVICE COMPANY,,,,,
"RAVALLI COUNTY ELEC COOP, INC",,,,,
RAYLE ELECTRIC MEMBERSHIP CORP,,,,,
REA ENERGY COOP INC,,,,,
RED DEER AB (CITY OF),,,,,
"RED LAKE ELECTRIC COOP, INC",,,,,
RED RIVER VALLEY COOP PWR ASSN,,,,,
RED RIVER VALLEY RRL ELEC ASSN,,,,,
REDWOOD ELECTRIC COOP,,,,,
REDWOOD FALLS PUBLIC UTIL COMM,,,,,
REEDSBURG UTILITY COMM,,,,,
REEDY CREEK IMPROVEMENT DIST,,,,,
RENVILLE-SIBLEY COOP PWR ASSN,,,,,
RICE LAKE UTILITIES,,,,,
"RICH MOUNTAIN ELEC COOP, INC",,,,,
RICHLAND ELECTRIC COOP,,,,,
"RIO GRANDE ELECTRIC COOP, INC",,,,,
"RITA BLANCA ELECTRIC COOP, INC",,,,,
RIVERLAND ENERGY COOPERATIVE,,,,,
RIVERSIDE ELECTRIC COOPERATIVE,,,,,
ROANOKE ELECTRIC MEMBER CORP,,,,,
ROCHELLE MUNICIPAL UTILITIES,,,,,
ROCHESTER GAS & ELECTRIC CORP,,,,,
ROCHESTER PUBLIC UTILITIES,,,,,
ROCK ENERGY COOPERATIVE,,,,,
ROCK RAPIDS MUNICIPAL UTILITY,,,,,
ROCKLAND ELECTRIC CO,,,,,
ROLLING HILLS ELECTRIC COOP,,,,,
ROOSEVELT COUNTY ELEC COOP INC,,,,,
ROOSEVELT PUBLIC POWER DIST,,,,,
"ROSEAU ELECTRIC COOP, INC",,,,,
ROSEBUD ELECTRIC COOP INC,,,,,
ROUGHRIDER ELECTRIC COOPERATIV,,,,,
RUNESTONE ELECTRIC ASSN,,,,,
RURAL ELECTRIC CONVEN COOP,,,,,
"RURAL ELECTRIC COOP, INC",,,,,
RUSHSHELBY ENERGY,,,,,
"RUSK COUNTY ELECTRIC COOP, INC",,,,,
RUTHERFORD ELEC MEMBER CORP,,,,,
SAC-OSAGE ELECTRIC COOP INC,,,,,
SACRAMENTO MUNICIPAL UTIL DIST,,,,,
SALEM CITY CORPORATION - (UT),,,,,
SALEM ELECTRIC - (OR),,,,,
SALMON RIVER ELECTRIC COOP INC,,,,,
SALT RIVER ELECTRIC COOP CORP,,,,,
SALT RIVER PROJECT,,,,,
SAM HOUSTON ELECTRIC COOP INC,,,,,
SAM RAYBURN MUNICIPAL PWR AGNY,,,,,
"SAN BERNARD ELECTRIC COOP, INC",,,,,
SAN DIEGO GAS & ELECTRIC CO,,,,,
"SAN ISABEL ELECTRIC ASSN, INC",,,,,
"SAN LUIS VALLEY R E C, INC",,,,,
